Max_X	Min_X	Max_Y	Min_Y	CT_X	CT_Y	Area	Prmt	N_Hole	A_Hole	Elongation
95	15	214	165	55	190	2562	203	0	0	16.0846994535519
99	46	154	113	73	134	825	246	5	135	73.3527272727273
57	56	128	127	57	128	2	3	0	0	4.5
168	72	108	74	120	91	2254	229	1	4	23.2657497781721
96	94	125	125	95	125	3	5	0	0	8.33333333333333
101	96	141	137	99	139	10	15	0	0	22.5
148	118	216	168	133	192	863	129	0	0	19.2827346465817
123	122	178	178	123	178	2	3	0	0	4.5
217	135	182	109	176	146	3330	229	1	486	15.748048048048
208	157	236	185	183	211	2022	167	0	0	13.7927794263106
197	182	118	102	190	110	211	46	0	0	10.0284360189573
